CourseName,Unit,ReviewNumber,AvgStar,Level,Results,course_ID,combined_features
The Structured Query Language (SQL),University of Colorado Boulder,605,4.7,Beginner level,"The origins and historical basis for SQL
Standard SQL  use and syntax
How to code SQL queries in order to analyze data stored in relational databases 
",599,"The Structured Query Language (SQL) University of Colorado Boulder Beginner level The origins and historical basis for SQL
Standard SQL  use and syntax
How to code SQL queries in order to analyze data stored in relational databases 
"
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,13685,4.7,Beginner level,"Make use of unicode characters and strings
Understand the basics of building a search engine
Select and process the data of your choice
Create email data visualizations
",83,"Capstone: Retrieving, Processing, and Visualizing Data with Python University of Michigan Beginner level Make use of unicode characters and strings
Understand the basics of building a search engine
Select and process the data of your choice
Create email data visualizations
"
Introduction to Business Analytics,Tableau Learning Partner,161,4.7,Beginner level,"Demonstrate a foundational knowledge of the business analyst role.
Explain the foundational project management topics and skills used by a BI analyst.
Describe data literacy and its importance for a BI analyst.
",356,"Introduction to Business Analytics Tableau Learning Partner Beginner level Demonstrate a foundational knowledge of the business analyst role.
Explain the foundational project management topics and skills used by a BI analyst.
Describe data literacy and its importance for a BI analyst.
"
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",3127,4.6,Intermediate level,"Describe & apply the Bayesian approach to statistics.
Explain the key differences between Bayesian and Frequentist approaches.
Master the basics of the R computing environment.
",51,"Bayesian Statistics: From Concept to Data Analysis University of California, Santa Cruz Intermediate level Describe & apply the Bayesian approach to statistics.
Explain the key differences between Bayesian and Frequentist approaches.
Master the basics of the R computing environment.
"
AI Capstone Project with Deep Learning,IBM,515,4.5,Advanced level,"Build a deep learning model to solve a real problem.
Execute the process of creating a deep learning pipeline.
Apply knowledge of deep learning to improve models using real data.
Demonstrate ability to present and communicate outcomes of deep learning projects.
",3,"AI Capstone Project with Deep Learning IBM Advanced level Build a deep learning model to solve a real problem.
Execute the process of creating a deep learning pipeline.
Apply knowledge of deep learning to improve models using real data.
Demonstrate ability to present and communicate outcomes of deep learning projects.
"
Fundamentals of Visualization with Tableau,"University of California, Davis",6508,4.5,Beginner level," Install Tableau Public Software and create a visualization
 Examine and navigate the Tableau Public workspace
 Practice and connect to different data sources
 Examine ways to define your project
",279,"Fundamentals of Visualization with Tableau University of California, Davis Beginner level  Install Tableau Public Software and create a visualization
 Examine and navigate the Tableau Public workspace
 Practice and connect to different data sources
 Examine ways to define your project
"
Rust Fundamentals,Duke University,48,4.3,Beginner level,"Apply Rust's core concepts like ownership, borrowing, and lifetimes to write efficient, reliable, and safe code. 
Use Rust's advanced features like enums, structs, traits, and generics to build robust applications. 
Develop, document, test and debug Rust projects using Cargo, Rust Analyzer, and other tools in the Rust ecosystem. 
",534,"Rust Fundamentals Duke University Beginner level Apply Rust's core concepts like ownership, borrowing, and lifetimes to write efficient, reliable, and safe code. 
Use Rust's advanced features like enums, structs, traits, and generics to build robust applications. 
Develop, document, test and debug Rust projects using Cargo, Rust Analyzer, and other tools in the Rust ecosystem. 
"
AI For Medical Treatment,DeepLearning.AI,505,4.7,Intermediate level,"Estimate treatment effects using data from randomized control trials
Explore methods to interpret diagnostic and prognostic models
Apply natural language processing to extract information from unstructured medical data
",4,"AI For Medical Treatment DeepLearning.AI Intermediate level Estimate treatment effects using data from randomized control trials
Explore methods to interpret diagnostic and prognostic models
Apply natural language processing to extract information from unstructured medical data
"
Human Factors in AI,Duke University,70,4.7,Beginner level,"Identify and mitigate privacy and ethical risks in AI projects
Apply human-centered design practices to design successful AI product experiences
Build AI systems that augment human intelligence and inspire model trust in users
",323,"Human Factors in AI Duke University Beginner level Identify and mitigate privacy and ethical risks in AI projects
Apply human-centered design practices to design successful AI product experiences
Build AI systems that augment human intelligence and inspire model trust in users
"
Introduction to Tableau,Tableau Learning Partner,98,4.8,Beginner level,"Describe the value of data visualizations in the field of business analytics.
How to preprocess data using Tableau Public
How to combine data from multiple tables found within the same data source as well as other data sources in Tableau Public.
",387,"Introduction to Tableau Tableau Learning Partner Beginner level Describe the value of data visualizations in the field of business analytics.
How to preprocess data using Tableau Public
How to combine data from multiple tables found within the same data source as well as other data sources in Tableau Public.
"
Getting Started with R,Coursera Project Network,342,4.3,Beginner level,"Understand the basics of the R language
Work with the R data types and structures
",305,"Getting Started with R Coursera Project Network Beginner level Understand the basics of the R language
Work with the R data types and structures
"
Recommender Systems Specialization,University of Minnesota,697,4.4,Intermediate level,"Build recommendation systems
Implement collaborative filtering
Master spreadsheet based tools
Use project-association recommenders
",525,"Recommender Systems Specialization University of Minnesota Intermediate level Build recommendation systems
Implement collaborative filtering
Master spreadsheet based tools
Use project-association recommenders
"
"Data Wrangling, Analysis and AB Testing with SQL","University of California, Davis",927,3.3,Intermediate level,"Validate and clean a dataset
Assess and create datasets to answer your questions
Solve problems using SQL
Build a simple testing framework to touch on AB Testing
",191,"Data Wrangling, Analysis and AB Testing with SQL University of California, Davis Intermediate level Validate and clean a dataset
Assess and create datasets to answer your questions
Solve problems using SQL
Build a simple testing framework to touch on AB Testing
"
Microsoft Azure for Data Engineering,Microsoft,549,4.5,Intermediate level,"You will learn the various data platform technologies available, and how to take advantage of this technology to an organizations benefit.
Choose Microsoft Azure data technologies that meet different business needs and scale to meet demands securely
Describe common data engineering practices 
Explain the differences between on-premises and cloud data solutions 
",450,"Microsoft Azure for Data Engineering Microsoft Intermediate level You will learn the various data platform technologies available, and how to take advantage of this technology to an organizations benefit.
Choose Microsoft Azure data technologies that meet different business needs and scale to meet demands securely
Describe common data engineering practices 
Explain the differences between on-premises and cloud data solutions 
"
Mathematics for Machine Learning: PCA,Imperial College London,3050,4.0,Intermediate level,"Implement mathematical concepts using real-world data
Derive PCA from a projection perspective
Understand how orthogonal projections work
Master PCA
",442,"Mathematics for Machine Learning: PCA Imperial College London Intermediate level Implement mathematical concepts using real-world data
Derive PCA from a projection perspective
Understand how orthogonal projections work
Master PCA
"
AI for Scientific Research Specialization,LearnQuest,48,3.2,Beginner level,"How to use AI in scientific situations to discover trends and patterns within datasets
The complete machine learning process
Use artificial intelligence to predict sequences in datasets
",9,"AI for Scientific Research Specialization LearnQuest Beginner level How to use AI in scientific situations to discover trends and patterns within datasets
The complete machine learning process
Use artificial intelligence to predict sequences in datasets
"
Data Analysis with R,IBM,266,4.7,Intermediate level,"Prepare data for analysis by handling missing values, formatting and normalizing data, binning, and turning categorical values into numeric values.
Compare and contrast predictive models using simple linear, multiple linear, and polynomial regression methods.
Examine data using descriptive statistics, data grouping, analysis of variance (ANOVA), and correlation statistics.
Evaluate a model for overfitting and underfitting conditions and tune its performance using regularization and grid search.
",135,"Data Analysis with R IBM Intermediate level Prepare data for analysis by handling missing values, formatting and normalizing data, binning, and turning categorical values into numeric values.
Compare and contrast predictive models using simple linear, multiple linear, and polynomial regression methods.
Examine data using descriptive statistics, data grouping, analysis of variance (ANOVA), and correlation statistics.
Evaluate a model for overfitting and underfitting conditions and tune its performance using regularization and grid search.
"
Machine Learning with Apache Spark,IBM,55,4.6,Intermediate level,"Describe ML, explain its role in data engineering, summarize generative AI, discuss Spark's uses, and analyze ML pipelines and model persistence. 
Evaluate ML models, distinguish between regression, classification, and clustering models, and compare data engineering pipelines with ML pipelines. 
Construct the data analysis processes using Spark SQL, and perform regression, classification, and clustering using SparkML. 
Demonstrate connecting to Spark clusters, build ML pipelines, perform feature extraction and transformation, and model persistence. 
",425,"Machine Learning with Apache Spark IBM Intermediate level Describe ML, explain its role in data engineering, summarize generative AI, discuss Spark's uses, and analyze ML pipelines and model persistence. 
Evaluate ML models, distinguish between regression, classification, and clustering models, and compare data engineering pipelines with ML pipelines. 
Construct the data analysis processes using Spark SQL, and perform regression, classification, and clustering using SparkML. 
Demonstrate connecting to Spark clusters, build ML pipelines, perform feature extraction and transformation, and model persistence. 
"
Analyzing and Visualizing Data in Looker,Google Cloud,318,4.7,Beginner level,"Use dimensions, measures, filters, and pivots to analyze and visualize data
Create advanced metrics instantaneously with table calculations
Create visualizations using Looks and dashboards
Share Looker content with others
",28,"Analyzing and Visualizing Data in Looker Google Cloud Beginner level Use dimensions, measures, filters, and pivots to analyze and visualize data
Create advanced metrics instantaneously with table calculations
Create visualizations using Looks and dashboards
Share Looker content with others
"
CertNexus Certified Artificial Intelligence Practitioner Professional Certificate,CertNexus,47,4.3,Intermediate level,"Learn about the business problems that AI/ML can solve as well as the specific AI/ML technologies that can solve them.  
Learn important tasks that make up the workflow, including data analysis and model training and about how machine learning tasks can be automated. 
Use ML algorithms to solve the two most common supervised problems regression and classification, and a common unsupervised problem: clustering.
Explore advanced algorithms used in both machine learning and deep learning. Build multiple models to solve business problems within a workflow.
",84,"CertNexus Certified Artificial Intelligence Practitioner Professional Certificate CertNexus Intermediate level Learn about the business problems that AI/ML can solve as well as the specific AI/ML technologies that can solve them.  
Learn important tasks that make up the workflow, including data analysis and model training and about how machine learning tasks can be automated. 
Use ML algorithms to solve the two most common supervised problems regression and classification, and a common unsupervised problem: clustering.
Explore advanced algorithms used in both machine learning and deep learning. Build multiple models to solve business problems within a workflow.
"
Informed Clinical Decision Making using Deep Learning Specialization,University of Glasgow,18,4.7,Intermediate level,"Extract and preprocess data from complex clinical databases
Apply deep learning in Electronic Health Records
Imputation of Electronic Health Records and data encodings
Explainable, fair and privacy-preserved Clinical Decision Support Systems
",340,"Informed Clinical Decision Making using Deep Learning Specialization University of Glasgow Intermediate level Extract and preprocess data from complex clinical databases
Apply deep learning in Electronic Health Records
Imputation of Electronic Health Records and data encodings
Explainable, fair and privacy-preserved Clinical Decision Support Systems
"
Data Mining Foundations and Practice Specialization,University of Colorado Boulder,28,3.8,Intermediate level,"Data mining pipeline: data understanding, preprocessing, warehousing
Data mining methods: frequent patterns, classification, clustering, outliers 
Data mining project: project formulation, design, implementation, reporting 
",149,"Data Mining Foundations and Practice Specialization University of Colorado Boulder Intermediate level Data mining pipeline: data understanding, preprocessing, warehousing
Data mining methods: frequent patterns, classification, clustering, outliers 
Data mining project: project formulation, design, implementation, reporting 
"
Apache Spark (TM) SQL for Data Analysts,Databricks,492,4.5,Intermediate level,"Ingest, transform, and query data to extract valuable insights.
Leverage existing SQL skills to start working with Apache Spark. 
",29,"Apache Spark (TM) SQL for Data Analysts Databricks Intermediate level Ingest, transform, and query data to extract valuable insights.
Leverage existing SQL skills to start working with Apache Spark. 
"
Introduction to Designing Data Lakes on AWS,Amazon Web Services,220,4.7,Intermediate level,"Where to start with a Data Lake?
How to build a secure and scalable Data Lake?
What are the common components of a Data Lake?
Why do you need a Data Lake and what it's value?
",371,"Introduction to Designing Data Lakes on AWS Amazon Web Services Intermediate level Where to start with a Data Lake?
How to build a secure and scalable Data Lake?
What are the common components of a Data Lake?
Why do you need a Data Lake and what it's value?
"
Data Analysis with R Programming,Google,9556,4.8,Beginner level,"Describe the R programming language and its programming environment.
Explain the fundamental concepts associated with programming in R including functions, variables, data types, pipes, and vectors.
Describe the options for generating visualizations in R.
Demonstrate an understanding of the basic formatting in R Markdown to create structure and emphasize content.
",136,"Data Analysis with R Programming Google Beginner level Describe the R programming language and its programming environment.
Explain the fundamental concepts associated with programming in R including functions, variables, data types, pipes, and vectors.
Describe the options for generating visualizations in R.
Demonstrate an understanding of the basic formatting in R Markdown to create structure and emphasize content.
"
Introduction to Microsoft Excel,Coursera Project Network,24,4.6,Beginner level,"Entering simple data in Microsoft Excel.
Change the layout of data entered in Microsoft Excel.
",376,"Introduction to Microsoft Excel Coursera Project Network Beginner level Entering simple data in Microsoft Excel.
Change the layout of data entered in Microsoft Excel.
"
Business Analysis Process,Tableau Learning Partner,58,4.7,Beginner level,"Demonstrate an in-depth knowledge of the business analysis process.
Create a business requirements document that conforms to industry best practices.
Create a visual model of a business process.
",75,"Business Analysis Process Tableau Learning Partner Beginner level Demonstrate an in-depth knowledge of the business analysis process.
Create a business requirements document that conforms to industry best practices.
Create a visual model of a business process.
"
Copywriting with ChatGPT: Produce Compelling Copy That Sells,Coursera Project Network,15,4.8,Beginner level,"Master research techniques with ChatGPT to speed up audience insight gathering process and product USP generation
Develop compelling headlines and body copy using iterative refinement techniques
Optimize the AI-generated copy to ensure authenticity, making it resonate with human readers while effectively bypassing AI detection tools
",107,"Copywriting with ChatGPT: Produce Compelling Copy That Sells Coursera Project Network Beginner level Master research techniques with ChatGPT to speed up audience insight gathering process and product USP generation
Develop compelling headlines and body copy using iterative refinement techniques
Optimize the AI-generated copy to ensure authenticity, making it resonate with human readers while effectively bypassing AI detection tools
"
Classification of COVID19 using Chest X-ray Images in Keras,Coursera Project Network,33,4.6,Intermediate level,"Learn to Build and Train the Convolutional Neural Network using Keras with Tensorflow as Backend
Learn to Visualize Data in Matplotlib
Learn to make use of the Trained Model to Predict on a New Set of Data
",92,"Classification of COVID19 using Chest X-ray Images in Keras Coursera Project Network Intermediate level Learn to Build and Train the Convolutional Neural Network using Keras with Tensorflow as Backend
Learn to Visualize Data in Matplotlib
Learn to make use of the Trained Model to Predict on a New Set of Data
"
Mastering Software Development in R Specialization,Johns Hopkins University,1258,4.2,Beginner level,"Build R packages
Custom data visualization and graphics
Data manipulation and wrangling
Produce and scale data science products
",441,"Mastering Software Development in R Specialization Johns Hopkins University Beginner level Build R packages
Custom data visualization and graphics
Data manipulation and wrangling
Produce and scale data science products
"
Launching into Machine Learning,Google Cloud,4273,4.6,Beginner level,"Describe how to improve data quality and perform exploratory data analysis
Build and train AutoML Models using Vertex AI and BigQuery ML
Optimize and evaluate models using loss functions and performance metrics
Create repeatable and scalable training, evaluation, and test datasets
",394,"Launching into Machine Learning Google Cloud Beginner level Describe how to improve data quality and perform exploratory data analysis
Build and train AutoML Models using Vertex AI and BigQuery ML
Optimize and evaluate models using loss functions and performance metrics
Create repeatable and scalable training, evaluation, and test datasets
"
Exam Prep DAS-C01: AWS Certified Data Analytics Specialty Specialization,Whizlabs,9,4.6,Beginner level,"Gain Skills to understand the fundamentals of  Data Analytics.
Learn working with various AWS Services necessary for Data Analytics 
",235,"Exam Prep DAS-C01: AWS Certified Data Analytics Specialty Specialization Whizlabs Beginner level Gain Skills to understand the fundamentals of  Data Analytics.
Learn working with various AWS Services necessary for Data Analytics 
"
Data Visualization with Tableau,Tableau Learning Partner,47,4.8,Beginner level,"Identify the value and structure of Tableau Public as it applies to data visualization in the industry of business analytics.  
 Build interactive tables by connecting, preparing, and customizing data in Tableau Public.
 Create data visualizations to communicate analytic insights to the intended audience, such as business stakeholders.
",185,"Data Visualization with Tableau Tableau Learning Partner Beginner level Identify the value and structure of Tableau Public as it applies to data visualization in the industry of business analytics.  
 Build interactive tables by connecting, preparing, and customizing data in Tableau Public.
 Create data visualizations to communicate analytic insights to the intended audience, such as business stakeholders.
"
Using Machine Learning in Trading and Finance,New York Institute of Finance,344,3.9,Intermediate level,"Design basic quantitative trading strategies 
Use Keras and Tensorflow to build machine learning models
Build a pair trading strategy prediction model and back test it.
Build a momentum-based trading model and back test it.
",627,"Using Machine Learning in Trading and Finance New York Institute of Finance Intermediate level Design basic quantitative trading strategies 
Use Keras and Tensorflow to build machine learning models
Build a pair trading strategy prediction model and back test it.
Build a momentum-based trading model and back test it.
"
"Foundations of Sports Analytics: Data, Representation, and Models in Sports",University of Michigan,163,4.4,Intermediate level,"Use Python to analyze team performance in sports.
Become a producer of sports analytics rather than a consumer.
",270,"Foundations of Sports Analytics: Data, Representation, and Models in Sports University of Michigan Intermediate level Use Python to analyze team performance in sports.
Become a producer of sports analytics rather than a consumer.
"
Applied Data Science with R Specialization,IBM,131,4.5,Beginner level,"Perform basic R programming tasks like working with data structures, data manipulation, using APIs, webscraping, and using R Studio and Jupyter.
Create relational databases and tables, load them with data from CSV files, and query data using SQL and R using JupyterLab.
Complete the data analysis process, including data preparation,
statistical analysis, and predictive modeling.
Communicate data analysis findings with data visualization charts, plots, and dashboards using libraries such as ggplot, leaflet and R Shiny.
",35,"Applied Data Science with R Specialization IBM Beginner level Perform basic R programming tasks like working with data structures, data manipulation, using APIs, webscraping, and using R Studio and Jupyter.
Create relational databases and tables, load them with data from CSV files, and query data using SQL and R using JupyterLab.
Complete the data analysis process, including data preparation,
statistical analysis, and predictive modeling.
Communicate data analysis findings with data visualization charts, plots, and dashboards using libraries such as ggplot, leaflet and R Shiny.
"
ChatGPT for Beginners: Using AI for Market Research,Coursera Project Network,0,0.0,Beginner level,"Practice how to use ChatGPT platform & its core features.
Design surveys & polls, transcribe them into multiple languages
Generate Blog Post
",88,"ChatGPT for Beginners: Using AI for Market Research Coursera Project Network Beginner level Practice how to use ChatGPT platform & its core features.
Design surveys & polls, transcribe them into multiple languages
Generate Blog Post
"
CertNexus Certified Ethical Emerging Technologist Professional Certificate,CertNexus,387,4.7,Beginner level,"Apply ethical principles, frameworks, regulations, and standards utilized in data-driven technologies and analyze the challenges that may compromise their implementation.
Detect and mitigate ethical risks in the design, development, and deployment of data-driven technologies.
Communicate effectively with diverse stakeholders about ethical safeguards, ethical risks, and mitigation strategies.
Create, implement, and evaluate the organizational policies and governance structure required for ethical data-driven technologies.
",85,"CertNexus Certified Ethical Emerging Technologist Professional Certificate CertNexus Beginner level Apply ethical principles, frameworks, regulations, and standards utilized in data-driven technologies and analyze the challenges that may compromise their implementation.
Detect and mitigate ethical risks in the design, development, and deployment of data-driven technologies.
Communicate effectively with diverse stakeholders about ethical safeguards, ethical risks, and mitigation strategies.
Create, implement, and evaluate the organizational policies and governance structure required for ethical data-driven technologies.
"
Data Visualization with R,IBM,205,4.6,Beginner level,"Create bar charts, histograms, pie charts, scatter plots, line graphs, box plots, and maps using R and related packages. 
Design customized charts and plots using annotations, axis titles, text labels, themes, and faceting. 
Create maps using the Leaflet package for R. 
Create interactive dashboards using the Shiny package for R. 
",184,"Data Visualization with R IBM Beginner level Create bar charts, histograms, pie charts, scatter plots, line graphs, box plots, and maps using R and related packages. 
Design customized charts and plots using annotations, axis titles, text labels, themes, and faceting. 
Create maps using the Leaflet package for R. 
Create interactive dashboards using the Shiny package for R. 
"
Distributed Computing with Spark SQL,"University of California, Davis",661,4.5,Intermediate level,"Use the collaborative Databricks workspace to write scalable Spark SQL code that executes against a cluster of machines
Inspect the Spark UI to analyze query performance and identify bottlenecks
Create an end-to-end pipeline that reads data, transforms it, and saves the result
Build a medallion (bronze, silver, gold) lakehouse architecture with Delta Lake to ensure the reliability, scalability, and performance of your data
",226,"Distributed Computing with Spark SQL University of California, Davis Intermediate level Use the collaborative Databricks workspace to write scalable Spark SQL code that executes against a cluster of machines
Inspect the Spark UI to analyze query performance and identify bottlenecks
Create an end-to-end pipeline that reads data, transforms it, and saves the result
Build a medallion (bronze, silver, gold) lakehouse architecture with Delta Lake to ensure the reliability, scalability, and performance of your data
"
Data Storage in Microsoft Azure,Microsoft,163,4.3,Intermediate level,"You will learn the basics of storage management in Azure, how to create a Storage Account, and how to choose the right model for your data.
Design and implement data storage and data security
Design and develop data processing
Monitor and optimize data storage and data processing
",170,"Data Storage in Microsoft Azure Microsoft Intermediate level You will learn the basics of storage management in Azure, how to create a Storage Account, and how to choose the right model for your data.
Design and implement data storage and data security
Design and develop data processing
Monitor and optimize data storage and data processing
"
Applied Data Science with Python Specialization,University of Michigan,25937,4.5,Intermediate level,"Conduct an inferential statistical analysis
Discern whether a data visualization is good or bad
Enhance a data analysis with applied machine learning
Analyze the connectivity of a social network
",34,"Applied Data Science with Python Specialization University of Michigan Intermediate level Conduct an inferential statistical analysis
Discern whether a data visualization is good or bad
Enhance a data analysis with applied machine learning
Analyze the connectivity of a social network
"
"Introduction to Data, Signal, and Image Analysis with MATLAB",Vanderbilt University,192,4.7,Intermediate level,"Learners will understand how signals, images, and data are represented and manipulated in MATLAB 
Learners will gain experience with methods for data visualization, including high dimensional datasets in MATLAB
Learners will apply machine learning methods for data classification and prediction in MATLAB
Learners will learn essential signal frequency analysis and image processing methods in MATLAB
",368,"Introduction to Data, Signal, and Image Analysis with MATLAB Vanderbilt University Intermediate level Learners will understand how signals, images, and data are represented and manipulated in MATLAB 
Learners will gain experience with methods for data visualization, including high dimensional datasets in MATLAB
Learners will apply machine learning methods for data classification and prediction in MATLAB
Learners will learn essential signal frequency analysis and image processing methods in MATLAB
"
Microsoft Azure Machine Learning for Data Scientists,Microsoft,104,4.4,Intermediate level,"Identify different kinds of machine learning models 
How to use the automated machine learning capability of Azure Machine Learning to train and deploy a predictive model
Create regression, classification, and clustering models using Azure Machine Learning designer
Use Azure Machine Learning to create and publish models without writing code
",449,"Microsoft Azure Machine Learning for Data Scientists Microsoft Intermediate level Identify different kinds of machine learning models 
How to use the automated machine learning capability of Azure Machine Learning to train and deploy a predictive model
Create regression, classification, and clustering models using Azure Machine Learning designer
Use Azure Machine Learning to create and publish models without writing code
"
Generative AI: Enhance your Data Analytics Career,IBM,14,4.6,Intermediate level,"Describe how you can use Generative AI tools and techniques in the context of data analytics across industries
Implement various data analytic processes such as data preparation, analysis, visualization and storytelling using Generative AI tools
Evaluate real-world case studies showcasing the successful application of Generative AI in deriving meaningful insights 
 Analyze the ethical considerations and challenges associated with using Generative AI in data analytics
",291,"Generative AI: Enhance your Data Analytics Career IBM Intermediate level Describe how you can use Generative AI tools and techniques in the context of data analytics across industries
Implement various data analytic processes such as data preparation, analysis, visualization and storytelling using Generative AI tools
Evaluate real-world case studies showcasing the successful application of Generative AI in deriving meaningful insights 
 Analyze the ethical considerations and challenges associated with using Generative AI in data analytics
"
Advanced Data Visualization with Tableau,Tableau Learning Partner,22,4.9,Beginner level,"Create advanced data visualizations to communicate analytic insights, such as dual-axis charts, bar-in-bar charts, small multiples, and more.
Create and customize spatial analytics data visualizations to communicate insights, such as maps, geocoding, lasso and radial selection, and more. 
 Add complexity to the visualizations produced in your analysis by incorporating motion and multi layers. 
",19,"Advanced Data Visualization with Tableau Tableau Learning Partner Beginner level Create advanced data visualizations to communicate analytic insights, such as dual-axis charts, bar-in-bar charts, small multiples, and more.
Create and customize spatial analytics data visualizations to communicate insights, such as maps, geocoding, lasso and radial selection, and more. 
 Add complexity to the visualizations produced in your analysis by incorporating motion and multi layers. 
"
Inferential Statistical Analysis with Python,University of Michigan,881,4.6,Intermediate level,"Determine assumptions needed to calculate confidence intervals for their respective population parameters.
Create confidence intervals in Python and interpret the results.
Review how inferential procedures are applied and interpreted step by step when analyzing real data.
Run hypothesis tests in Python and interpret the results.
",339,"Inferential Statistical Analysis with Python University of Michigan Intermediate level Determine assumptions needed to calculate confidence intervals for their respective population parameters.
Create confidence intervals in Python and interpret the results.
Review how inferential procedures are applied and interpreted step by step when analyzing real data.
Run hypothesis tests in Python and interpret the results.
"
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",471,4.8,Intermediate level,"Efficiently and effectively communicate the results of data analysis.
Use statistical modeling results to draw scientific conclusions.
Extend basic statistical models to account for correlated observations using hierarchical models.
",53,"Bayesian Statistics: Techniques and Models University of California, Santa Cruz Intermediate level Efficiently and effectively communicate the results of data analysis.
Use statistical modeling results to draw scientific conclusions.
Extend basic statistical models to account for correlated observations using hierarchical models.
"
Production Machine Learning Systems,Google Cloud,969,4.6,Advanced level,"Compare static versus dynamic training and inference
Manage model dependencies
Set up distributed training for fault tolerance, replication, and more
Export models for portability
",505,"Production Machine Learning Systems Google Cloud Advanced level Compare static versus dynamic training and inference
Manage model dependencies
Set up distributed training for fault tolerance, replication, and more
Export models for portability
"
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,6220,4.5,Intermediate level,"Describe what makes a good or bad visualization
Understand best practices for creating basic charts
Identify the functions that are best for particular problems
Create a visualization using matplotlb
",37,"Applied Plotting, Charting & Data Representation in Python University of Michigan Intermediate level Describe what makes a good or bad visualization
Understand best practices for creating basic charts
Identify the functions that are best for particular problems
Create a visualization using matplotlb
"
Predicting Credit Card Fraud with R,University of North Texas,31,4.4,Intermediate level,"Use R to identify fraudulent credit card transactions with a variety of classification methods. 
Create, train, and evaluate decision tree, naïve Bayes, and Linear discriminant analysis classification models using R
Generate synthetic samples to improve the performance of your models.
",489,"Predicting Credit Card Fraud with R University of North Texas Intermediate level Use R to identify fraudulent credit card transactions with a variety of classification methods. 
Create, train, and evaluate decision tree, naïve Bayes, and Linear discriminant analysis classification models using R
Generate synthetic samples to improve the performance of your models.
"
"Generative AI: Impact, Considerations, and Ethical Issues",IBM,39,4.7,Beginner level,"Describe the limitations of generative AI and the related concerns. 
Identify the ethical issues, concerns, and misuses associated with generative AI.
Explain the considerations for the responsible use of generative AI. 
Discuss the economic and social impact of generative AI.
",293,"Generative AI: Impact, Considerations, and Ethical Issues IBM Beginner level Describe the limitations of generative AI and the related concerns. 
Identify the ethical issues, concerns, and misuses associated with generative AI.
Explain the considerations for the responsible use of generative AI. 
Discuss the economic and social impact of generative AI.
"
Data Science Coding Challenge: Loan Default Prediction,Coursera Project Network,0,0.0,Intermediate level,"Load, clean, analyze, process, and visualize data using Python and Jupyter Notebooks
Produce an end-to-end machine learning prediction model using Python and Jupyter Notebooks
",156,"Data Science Coding Challenge: Loan Default Prediction Coursera Project Network Intermediate level Load, clean, analyze, process, and visualize data using Python and Jupyter Notebooks
Produce an end-to-end machine learning prediction model using Python and Jupyter Notebooks
"
Python and Pandas for Data Engineering,Duke University,184,4.6,Beginner level,"Setup a provisioned Python project environment
Use Pandas libraries to read and write data into data structures and files
Employ Vim and Visual Studio Code to write Python code
",514,"Python and Pandas for Data Engineering Duke University Beginner level Setup a provisioned Python project environment
Use Pandas libraries to read and write data into data structures and files
Employ Vim and Visual Studio Code to write Python code
"
Data Integration with Microsoft Azure Data Factory,Microsoft,136,3.9,Intermediate level,"How to create and manage data pipelines in the cloud 
How to integrate data at scale with Azure Synapse Pipeline and Azure Data Factory
",147,"Data Integration with Microsoft Azure Data Factory Microsoft Intermediate level How to create and manage data pipelines in the cloud 
How to integrate data at scale with Azure Synapse Pipeline and Azure Data Factory
"
Applied Text Mining in Python,University of Michigan,3787,4.2,Intermediate level,"Understand how text is handled in Python
Apply basic natural language processing methods
Write code that groups documents by topic
Describe the nltk framework for manipulating text
",39,"Applied Text Mining in Python University of Michigan Intermediate level Understand how text is handled in Python
Apply basic natural language processing methods
Write code that groups documents by topic
Describe the nltk framework for manipulating text
"
Deep Learning for Computer Vision Specialization,MathWorks,0,0.0,Beginner level,"Apply the full deep learning workflow to real-world projects like detecting parking signs
Retrain common classification and detection models like ResNet and YOLO
Train and calibrate specialized models known as anomaly detectors
Generate synthetic training images and use AI-assisted auto-labeling to save time and money
",200,"Deep Learning for Computer Vision Specialization MathWorks Beginner level Apply the full deep learning workflow to real-world projects like detecting parking signs
Retrain common classification and detection models like ResNet and YOLO
Train and calibrate specialized models known as anomaly detectors
Generate synthetic training images and use AI-assisted auto-labeling to save time and money
"
Experimental Design Basics,Arizona State University,252,4.7,Intermediate level,"By the end of this course, you will be able to:
Approach complex industrial and business research problems and address them through a rigorous, statistically sound experimental strategy
Use modern software to effectively plan experiments
Analyze the resulting data of an experiment, and communicate the results effectively to decision-makers.
",238,"Experimental Design Basics Arizona State University Intermediate level By the end of this course, you will be able to:
Approach complex industrial and business research problems and address them through a rigorous, statistically sound experimental strategy
Use modern software to effectively plan experiments
Analyze the resulting data of an experiment, and communicate the results effectively to decision-makers.
"
